128 6432 
0 127 0
0 124 0
0 121 0
0 119 0
0 118 0
0 116 0
0 113 0
0 109 0
0 108 0
0 107 0
0 104 0
0 102 0
0 101 0
0 99 0
0 97 0
0 96 0
0 91 0
0 90 0
0 89 0
0 87 0
0 79 0
0 78 0
0 77 0
0 75 0
0 73 0
0 72 0
0 71 0
0 69 0
0 67 0
0 66 0
0 64 0
0 63 0
0 61 0
0 56 0
0 54 0
0 46 0
0 43 0
0 42 0
0 38 0
0 36 0
0 32 0
0 31 0
0 30 0
0 27 0
0 26 0
0 22 0
0 18 0
0 15 0
0 11 0
0 7 0
1 127 0
1 126 0
1 125 0
1 122 0
1 121 0
1 117 0
1 115 0
1 114 0
1 113 0
1 112 0
1 110 0
1 109 0
1 107 0
1 106 0
1 105 0
1 100 0
1 99 0
1 98 0
1 95 0
1 94 0
1 93 0
1 92 0
1 91 0
1 90 0
1 88 0
1 87 0
1 85 0
1 83 0
1 82 0
1 81 0
1 75 0
1 74 0
1 72 0
1 70 0
1 69 0
1 68 0
1 67 0
1 66 0
1 65 0
1 63 0
1 61 0
1 60 0
1 59 0
1 57 0
1 55 0
1 52 0
1 51 0
1 45 0
1 44 0
1 42 0
1 40 0
1 37 0
1 35 0
1 29 0
1 27 0
1 26 0
1 24 0
1 23 0
1 22 0
1 21 0
1 19 0
1 18 0
1 13 0
1 12 0
1 9 0
1 7 0
1 6 0
1 5 0
2 123 0
2 120 0
2 103 0
2 86 0
2 84 0
2 80 0
2 76 0
2 62 0
2 58 0
2 53 0
2 49 0
2 48 0
2 47 0
2 41 0
2 39 0
2 36 0
2 34 0
2 33 0
2 32 0
2 31 0
2 28 0
2 25 0
2 20 0
2 17 0
2 16 0
2 15 0
2 14 0
2 11 0
2 10 0
2 8 0
2 4 0
2 3 0
3 123 0
3 111 0
3 103 0
3 86 0
3 84 0
3 80 0
3 76 0
3 62 0
3 58 0
3 53 0
3 49 0
3 48 0
3 47 0
3 41 0
3 39 0
3 28 0
3 25 0
3 20 0
3 17 0
3 16 0
3 14 0
3 10 0
3 8 0
3 4 0
3 2 0
4 123 0
4 120 0
4 116 0
4 111 0
4 103 0
4 101 0
4 86 0
4 84 0
4 80 0
4 76 0
4 73 0
4 62 0
4 58 0
4 53 0
4 49 0
4 48 0
4 47 0
4 46 0
4 41 0
4 39 0
4 36 0
4 34 0
4 32 0
4 31 0
4 28 0
4 25 0
4 20 0
4 17 0
4 15 0
4 14 0
4 11 0
4 10 0
4 8 0
4 3 0
4 2 0
5 127 0
5 126 0
5 125 0
5 122 0
5 121 0
5 115 0
5 114 0
5 112 0
5 110 0
5 109 0
5 107 0
5 106 0
5 105 0
5 102 0
5 97 0
5 95 0
5 94 0
5 92 0
5 91 0
5 90 0
5 88 0
5 87 0
5 83 0
5 75 0
5 74 0
5 70 0
5 69 0
5 68 0
5 67 0
5 66 0
5 65 0
5 63 0
5 61 0
5 59 0
5 56 0
5 55 0
5 54 0
5 52 0
5 51 0
5 44 0
5 40 0
5 37 0
5 29 0
5 27 0
5 26 0
5 23 0
5 22 0
5 19 0
5 12 0
5 9 0
5 7 0
5 1 0
6 127 0
6 126 0
6 125 0
6 124 0
6 122 0
6 121 0
6 117 0
6 116 0
6 115 0
6 114 0
6 113 0
6 112 0
6 110 0
6 109 0
6 107 0
6 106 0
6 104 0
6 101 0
6 100 0
6 99 0
6 98 0
6 96 0
6 93 0
6 92 0
6 91 0
6 90 0
6 89 0
6 87 0
6 85 0
6 82 0
6 81 0
6 78 0
6 77 0
6 75 0
6 74 0
6 73 0
6 72 0
6 68 0
6 67 0
6 65 0
6 64 0
6 63 0
6 61 0
6 60 0
6 57 0
6 52 0
6 51 0
6 50 0
6 45 0
6 44 0
6 42 0
6 40 0
6 38 0
6 37 0
6 35 0
6 29 0
6 27 0
6 26 0
6 24 0
6 23 0
6 21 0
6 19 0
6 18 0
6 13 0
6 9 0
6 7 0
6 1 0
7 127 0
7 126 0
7 125 0
7 124 0
7 122 0
7 121 0
7 117 0
7 116 0
7 115 0
7 114 0
7 113 0
7 112 0
7 110 0
7 109 0
7 108 0
7 107 0
7 106 0
7 104 0
7 102 0
7 101 0
7 100 0
7 99 0
7 98 0
7 97 0
7 96 0
7 95 0
7 93 0
7 92 0
7 91 0
7 90 0
7 89 0
7 88 0
7 87 0
7 85 0
7 83 0
7 82 0
7 81 0
7 79 0
7 78 0
7 77 0
7 75 0
7 74 0
7 73 0
7 72 0
7 70 0
7 69 0
7 68 0
7 67 0
7 66 0
7 65 0
7 64 0
7 63 0
7 61 0
7 60 0
7 57 0
7 56 0
7 54 0
7 52 0
7 51 0
7 50 0
7 45 0
7 44 0
7 42 0
7 40 0
7 38 0
7 37 0
7 35 0
7 32 0
