197 7850 
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0
0 33 0
0 46 0
0 47 0
0 48 0
0 49 0
0 50 0
0 51 0
0 52 0
0 53 0
0 54 0
0 64 0
0 66 0
0 67 0
0 70 0
0 73 0
0 74 0
0 79 0
0 120 0
0 124 0
0 125 0
0 126 0
0 127 0
0 128 0
0 129 0
0 130 0
0 134 0
0 135 0
0 136 0
0 137 0
0 138 0
0 144 0
0 146 0
0 148 0
0 149 0
0 150 0
0 152 0
0 153 0
0 159 0
0 160 0
0 161 0
0 162 0
0 163 0
0 164 0
0 165 0
0 172 0
0 173 0
0 175 0
0 176 0
0 177 0
0 190 0
0 191 0
0 76 0
0 72 0
0 63 0
0 62 0
0 61 0
0 59 0
0 58 0
0 56 0
0 55 0
0 45 0
0 44 0
0 43 0
0 42 0
0 41 0
0 40 0
0 39 0
0 38 0
0 196 0
0 37 0
0 188 0
0 186 0
0 183 0
0 194 0
0 32 0
0 119 0
0 117 0
0 116 0
0 113 0
0 111 0
0 110 0
0 108 0
0 107 0
0 106 0
0 103 0
0 101 0
0 98 0
0 95 0
0 92 0
0 90 0
0 89 0
0 87 0
0 86 0
0 84 0
0 82 0
0 35 0
0 180 0
0 36 0
0 168 0
0 34 0
0 156 0
0 151 0
0 147 0
0 145 0
0 143 0
0 141 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 0
1 13 0
1 14 0
1 15 0
1 33 0
1 46 0
1 47 0
1 48 0
1 49 0
1 50 0
1 51 0
1 52 0
1 53 0
1 54 0
1 64 0
1 66 0
1 67 0
1 70 0
1 73 0
1 74 0
1 79 0
1 120 0
1 124 0
1 125 0
1 126 0
1 127 0
1 128 0
1 129 0
1 130 0
1 134 0
1 135 0
1 136 0
1 137 0
1 138 0
1 144 0
1 146 0
1 148 0
1 149 0
1 150 0
1 152 0
1 153 0
1 159 0
1 160 0
1 161 0
1 162 0
1 163 0
1 164 0
1 165 0
1 172 0
1 173 0
1 175 0
1 176 0
1 177 0
1 190 0
1 191 0
1 76 0
1 72 0
1 63 0
1 62 0
1 61 0
1 59 0
1 58 0
1 56 0
1 55 0
1 45 0
1 44 0
1 43 0
1 42 0
1 41 0
1 40 0
1 39 0
1 38 0
1 196 0
1 37 0
1 188 0
1 186 0
1 183 0
1 194 0
1 32 0
1 119 0
1 117 0
1 116 0
1 113 0
1 111 0
1 110 0
1 108 0
1 107 0
1 106 0
1 103 0
1 101 0
1 98 0
1 95 0
1 92 0
1 90 0
1 89 0
1 87 0
1 86 0
1 84 0
1 82 0
1 35 0
1 180 0
1 36 0
1 168 0
1 34 0
1 156 0
1 151 0
1 147 0
1 145 0
1 143 0
1 141 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 33 0
2 46 0
2 47 0
2 48 0
2 49 0
2 50 0
2 51 0
2 52 0
2 53 0
2 54 0
2 64 0
2 66 0
2 67 0
2 70 0
2 73 0
2 74 0
2 79 0
2 120 0
2 124 0
2 125 0
2 126 0
2 127 0
2 128 0
2 129 0
2 130 0
2 134 0
2 135 0
2 136 0
2 137 0
2 138 0
2 144 0
2 146 0
2 148 0
2 149 0
2 150 0
2 152 0
2 153 0
2 159 0
2 160 0
2 161 0
2 162 0
2 163 0
2 164 0
