64 1456
0 9 0
0 18 0
0 27 0
0 36 0
0 45 0
0 54 0
0 63 0
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 16 0
0 24 0
0 32 0
0 40 0
0 48 0
0 56 0
1 10 0
1 19 0
1 28 0
1 37 0
1 46 0
1 55 0
1 8 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 9 0
1 17 0
1 25 0
1 33 0
1 41 0
1 49 0
1 57 0
1 0 0
2 11 0
2 20 0
2 29 0
2 38 0
2 47 0
2 9 0
2 16 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 10 0
2 18 0
2 26 0
2 34 0
2 42 0
2 50 0
2 58 0
2 1 0
2 0 0
3 12 0
3 21 0
3 30 0
3 39 0
3 10 0
3 17 0
3 24 0
3 4 0
3 5 0
3 6 0
3 7 0
3 11 0
3 19 0
3 27 0
3 35 0
3 43 0
3 51 0
3 59 0
3 2 0
3 1 0
3 0 0
4 13 0
4 22 0
4 31 0
4 11 0
4 18 0
4 25 0
4 32 0
4 5 0
4 6 0
4 7 0
4 12 0
4 20 0
4 28 0
4 36 0
4 44 0
4 52 0
4 60 0
4 3 0
4 2 0
4 1 0
4 0 0
5 14 0
5 23 0
5 12 0
5 19 0
5 26 0
5 33 0
5 40 0
5 6 0
5 7 0
5 13 0
5 21 0
5 29 0
5 37 0
5 45 0
5 53 0
5 61 0
5 4 0
5 3 0
5 2 0
5 1 0
5 0 0
6 15 0
6 13 0
6 20 0
6 27 0
6 34 0
6 41 0
6 48 0
6 7 0
6 14 0
6 22 0
6 30 0
6 38 0
6 46 0
6 54 0
6 62 0
6 5 0
6 4 0
6 3 0
6 2 0
6 1 0
6 0 0
7 14 0
7 21 0
7 28 0
7 35 0
7 42 0
7 49 0
7 56 0
7 15 0
7 23 0
7 31 0
7 39 0
7 47 0
7 55 0
7 63 0
7 6 0
7 5 0
7 4 0
7 3 0
7 2 0
7 1 0
7 0 0
8 17 0
8 26 0
8 35 0
8 44 0
8 53 0
8 62 0
8 9 0
8 10 0
8 11 0
8 12 0
8 13 0
8 14 0
8 15 0
8 16 0
8 24 0
8 32 0
8 40 0
8 48 0
8 56 0
8 1 0
8 0 0
9 18 0
9 27 0
9 36 0
9 45 0
9 54 0
9 63 0
9 16 0
9 10 0
9 11 0
9 12 0
9 13 0
9 14 0
9 15 0
9 17 0
9 25 0
9 33 0
9 41 0
9 49 0
9 57 0
9 8 0
9 2 0
9 1 0
9 0 0
10 19 0
10 28 0
10 37 0
10 46 0
10 55 0
10 17 0
10 24 0
10 11 0
10 12 0
10 13 0
10 14 0
10 15 0
10 18 0
10 26 0
10 34 0
10 42 0
10 50 0
10 58 0
10 9 0
10 8 0
10 3 0
10 2 0
10 1 0
11 20 0
11 29 0
11 38 0
11 47 0
11 18 0
11 25 0
11 32 0
11 12 0
11 13 0
11 14 0
11 15 0
11 19 0
11 27 0
11 35 0
11 43 0
11 51 0
11 59 0
11 10 0
11 9 0
11 8 0
11 4 0
11 3 0
11 2 0
12 21 0
12 30 0
12 39 0
12 19 0
12 26 0
12 33 0
12 40 0
12 13 0
12 14 0
12 15 0
12 20 0
12 28 0
12 36 0
12 44 0
12 52 0
12 60 0
12 11 0
12 10 0
12 9 0
12 8 0
12 5 0
12 4 0
12 3 0
13 22 0
13 31 0
13 20 0
13 27 0
13 34 0
13 41 0
13 48 0
13 14 0
13 15 0
13 21 0
13 29 0
13 37 0
13 45 0
13 53 0
13 61 0
13 12 0
13 11 0
13 10 0
13 9 0
13 8 0
13 6 0
13 5 0
13 4 0
14 23 0
14 21 0
14 28 0
14 35 0
14 42 0
14 49 0
14 56 0
14 15 0
14 22 0
14 30 0
14 38 0
14 46 0
14 54 0
14 62 0
14 13 0
14 12 0
14 11 0
14 10 0
14 9 0
14 8 0
14 7 0
14 6 0
14 5 0
15 22 0
15 29 0
15 36 0
15 43 0
15 50 0
15 57 0
15 23 0
15 31 0
15 39 0
15 47 0
15 55 0
15 63 0
15 14 0
15 13 0
15 12 0
15 11 0
15 10 0
15 9 0
15 8 0
15 7 0
15 6 0
16 25 0
16 34 0
16 43 0
16 52 0
16 61 0
16 17 0
16 18 0
16 19 0
16 20 0
16 21 0
16 22 0
16 23 0
16 24 0
16 32 0
16 40 0
16 48 0
16 56 0
16 9 0
16 8 0
16 2 0
16 0 0
17 26 0
17 35 0
17 44 0
17 53 0
17 62 0
17 24 0
17 18 0
17 19 0
17 20 0
17 21 0
17 22 0
17 23 0
17 25 0
17 33 0
17 41 0
17 49 0
17 57 0
17 16 0
17 10 0
17 9 0
17 8 0
17 3 0
17 1 0
18 27 0
18 36 0
18 45 0
18 54 0
18 63 0
18 25 0
18 32 0
18 19 0
18 20 0
18 21 0
18 22 0
18 23 0
18 26 0
18 34 0
18 42 0
18 50 0
18 58 0
18 17 0
18 16 0
18 11 0
18 10 0
18 9 0
18 4 0
18 2 0
18 0 0
19 28 0
19 37 0
19 46 0
19 55 0
19 26 0
19 33 0
19 40 0
19 20 0
19 21 0
19 22 0
19 23 0
19 27 0
19 35 0
